customer_id,first_name,last_name,email,city,country,segment,signup_date,marketing_opt_in
C0055,Manon,Leroy,manon.leroy.55@example.fr,Bordeaux,FR,Young Professional,2024-06-26,True
C0056,Nathan,Richard,nathan.richard.56@example.fr,Bordeaux,FR,Young Professional,2024-11-11,False
C0057,Camille,Simon,camille.simon.57@example.fr,Montpellier,FR,Family,2025-10-27,True
C0058,Ines,Robert,ines.robert.58@example.fr,Lyon,FR,Student,2025-05-09,True
C0059,Chloe,Robert,chloe.robert.59@example.fr,Rennes,FR,Young Professional,2024-06-16,True
C0060,Chloe,Leroy,chloe.leroy.60@example.fr,Strasbourg,FR,Family,2023-03-20,True
C0061,Antoine,Michel,antoine.michel.61@example.fr,Bordeaux,FR,Student,2023-01-06,False
C0062,Ines,Simon,ines.simon.62@example.fr,Bordeaux,FR,Young Professional,2024-11-17,False
C0063,Camille,Bernard,camille.bernard.63@example.fr,Lyon,FR,Young Professional,2025-04-27,True
C0064,Mehdi,Moreau,mehdi.moreau.64@example.fr,Montpellier,FR,Young Professional,2024-10-29,True
C0065,Louis,Robert,louis.robert.65@example.fr,Lille,FR,Student,2024-07-09,True
C0066,Nathan,Simon,nathan.simon.66@example.fr,Lyon,FR,Family,2025-05-19,False
C0067,Ines,Thomas,ines.thomas.67@example.fr,Marseille,FR,Young Professional,2024-10-02,True
C0068,Lucas,Laurent,lucas.laurent.68@example.fr,Lille,FR,Premium,2025-11-06,True
C0069,Chloe,Dubois,chloe.dubois.69@example.fr,Lyon,FR,Premium,2023-03-02,False
C0070,Nathan,Thomas,nathan.thomas.70@example.fr,Strasbourg,FR,Family,2024-04-19,True
C0071,Nathan,Martin,nathan.martin.71@example.fr,Toulouse,FR,Premium,2024-05-24,False
C0072,Lea,Lefebvre,lea.lefebvre.72@example.fr,Bordeaux,FR,Family,2025-09-23,False
C0073,Sarah,Martin,sarah.martin.73@example.fr,Lyon,FR,Family,2023-10-05,False
C0074,Louis,Bernard,louis.bernard.74@example.fr,Rennes,FR,Premium,2024-06-21,False
C0075,Antoine,Moreau,antoine.moreau.75@example.fr,Montpellier,FR,Student,2024-08-21,True
C0076,Chloe,Martin,chloe.martin.76@example.fr,Nantes,FR,Student,2025-03-18,True
C0077,Mehdi,Petit,mehdi.petit.77@example.fr,Lyon,FR,Family,2025-08-26,False
C0078,Hugo,Laurent,hugo.laurent.78@example.fr,Bordeaux,FR,Small Business,2024-04-25,False
C0079,Sarah,Petit,sarah.petit.79@example.fr,Bordeaux,FR,Small Business,2023-07-17,True
C0080,Antoine,Simon,antoine.simon.80@example.fr,Nantes,FR,Young Professional,2025-08-14,False
C0081,Nina,Leroy,nina.leroy.81@example.fr,Paris,FR,Family,2024-03-21,True
C0082,Antoine,Lefebvre,antoine.lefebvre.82@example.fr,Rennes,FR,Small Business,2025-10-14,False
C0083,Yasmine,Durand,yasmine.durand.83@example.fr,Strasbourg,FR,Young Professional,2025-03-05,False
C0084,Lucas,Simon,lucas.simon.84@example.fr,Lyon,FR,Family,2025-03-11,False
C0085,Lea,Michel,lea.michel.85@example.fr,Toulouse,FR,Family,2023-12-15,True
C0086,Ines,Martin,ines.martin.86@example.fr,Paris,FR,Young Professional,2025-01-08,True
C0087,Yasmine,Petit,yasmine.petit.87@example.fr,Rennes,FR,Young Professional,2025-12-17,False
C0088,Jules,Petit,jules.petit.88@example.fr,Toulouse,FR,Young Professional,2025-10-16,True
C0089,Hugo,Lefebvre,hugo.lefebvre.89@example.fr,Nantes,FR,Young Professional,2023-10-01,False
C0090,Louis,Leroy,louis.leroy.90@example.fr,Toulouse,FR,Student,2024-12-10,True
C0091,Yasmine,Simon,yasmine.simon.91@example.fr,Montpellier,FR,Small Business,2025-07-14,False
C0092,Yasmine,Moreau,yasmine.moreau.92@example.fr,Montpellier,FR,Premium,2025-05-01,False
C0093,Lucas,Laurent,lucas.laurent.93@example.fr,Strasbourg,FR,Premium,2024-02-07,True
C0094,Chloe,Lefebvre,chloe.lefebvre.94@example.fr,Montpellier,FR,Premium,2025-08-31,True
C0095,Chloe,Durand,chloe.durand.95@example.fr,Lyon,FR,Family,2023-12-31,False
C0096,Sarah,Richard,sarah.richard.96@example.fr,Montpellier,FR,Student,2023-08-03,True
C0097,Nathan,Petit,nathan.petit.97@example.fr,Marseille,FR,Young Professional,2023-04-10,False
C0098,Antoine,Richard,antoine.richard.98@example.fr,Montpellier,FR,Premium,2024-10-07,True
C0099,Manon,Michel,manon.michel.99@example.fr,Nantes,FR,Premium,2025-06-26,True
C0100,Nina,Durand,nina.durand.100@example.fr,Paris,FR,Family,2024-04-08,False
